ID;Code;Digit;Special;Animal;Color;Serie;Used_Upgrade;Deliverable;Shop;Extra
118766;2H9kz9;6;common;llama;yellow;CS2;False;True;Presale Redemption;[];
119914;3E1Jkh;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
118604;2jqY1Z;6;common;llama;yellow;CS2;False;True;Presale Redemption;[];
119719;3XoA5U;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
117850;4f2bvR;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117948;6j7bn3;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118665;357Nh6;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119944;71RUUF;6;common;llama;yellow;CS2;False;True;Presale Redemption;[];
118573;33dPPA;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118411;8SKCW;5;common;llama;blue;CS2;False;True;Presale Redemption;[];
119025;5ok3xC;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
118441;4gWbNx;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118325;5RWEWx;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118021;2tjTXa;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119167;3gh5c2;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118716;3tYyj1;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119135;6HupLe;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118199;4dYck6;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118034;43SuDK;6;common;llama;green;CS2;False;True;Presale Redemption;[];
118801;iY2oA;5;common;llama;blue;CS2;False;True;Presale Redemption;[];
119815;3zUwBL;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119537;4xpToe;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
119118;2P5iDb;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119949;3fD6ZA;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119781;2L7jrL;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
117873;3E1J9W;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117728;2gsZBm;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119238;4Z6fCy;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118129;MnCek;5;only_alpha_mixed;llama;blue;CS2;False;True;Presale Redemption;[];
117971;2mKX6z;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
119820;663vHh;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118667;7DHNLz;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117758;4xpTGy;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117577;4dYcZN;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119083;2jqY9p;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117646;6ywUWH;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118879;5RWEgW;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119631;6xTVpA;6;common;llama;yellow;CS2;False;True;Presale Redemption;[];
